"assay_name","samp_name","technical_rep_id","pcr_plate_id","well_id","detected_notDetected","estimatedNumberOfCopies","estimatedNumberOfCopies_unit","estimatedNumberOfCopies_method","estimatedNumberOfCopies_error","estimatedNumberOfCopies_error_type","quantificationCycle","rfu","positivePartitions","acceptedPartitions","partitionVolumeMicroliters","concentrationInReaction","concentrationInReaction_unit","volumeFilteredLiters","dilutionFactor","dataset"
"Tt_16S","52345-538",2,"dPB134","A05","detected",21.7542413845887,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",2,19782,0.00085,0.118949555,"copies/uL",3.007333333,1,"field survey"
"Tt_16S","52345-538",3,"dPB134","A09","detected",39.9462196397646,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",4,21547,0.00085,0.218421087,"copies/uL",3.007333333,1,"field survey"
"Tt_16S","52345-539",1,"dPB134","E02","detected",10.5888594558403,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",1,20320,0.00085,0.0578986,"copies/uL",3.007333333,1,"field survey"
"Tt_16S","52345-539",2,"dPB134","E06","notDetected",0,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",0,20178,0.00085,0,"copies/uL",3.007333333,1,"field survey"
"Tt_16S","52345-539",3,"dPB134","E10","notDetected",0,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",0,22174,0.00085,0,"copies/uL",3.007333333,1,"field survey"
"Tt_16S","52345-540",1,"dPB134","F03","detected",375.880888101814,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",37,21212,0.00085,2.053904295,"copies/uL",3.005333333,1,"field survey"
"Tt_16S","52345-540",2,"dPB134","F07","detected",255.915325599597,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",26,21887,0.00085,1.398383379,"copies/uL",3.005333333,1,"field survey"
"Tt_16S","52345-540",3,"dPB134","F11","detected",193.947723551906,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",18,19991,0.00085,1.059777379,"copies/uL",3.005333333,1,"field survey"
"Tt_16S","52345-541",1,"dPB133","C04","detected",551.123291853509,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",49,19167,0.00085,3.011471272,"copies/uL",3.005333333,1,"field survey"
"Tt_16S","52345-541",2,"dPB133","C08","detected",403.241216837103,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",37,19774,0.00085,2.203407764,"copies/uL",3.005333333,1,"field survey"
"Tt_16S","52345-541",3,"dPB133","C12","detected",313.782584861784,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",29,19913,0.00085,1.714584112,"copies/uL",3.005333333,1,"field survey"
"Tt_16S","52345-542",1,"dPB134","H01","detected",248.039331332974,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",23,19976,0.00085,1.355347037,"copies/uL",3.005333333,1,"field survey"
"Tt_16S","52345-542",2,"dPB134","H05","detected",156.732557343252,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",15,20613,0.00085,0.856424689,"copies/uL",3.005333333,1,"field survey"
"Tt_16S","52345-542",3,"dPB134","H09","detected",83.3137301944688,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",8,20678,0.00085,0.455246419,"copies/uL",3.005333333,1,"field survey"
"Tt_16S","52345-543",1,"dPB134","D04","detected",341.057140089955,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",31,19607,0.00085,1.861551881,"copies/uL",3.002,1,"field survey"
"Tt_16S","52345-543",2,"dPB134","D08","detected",310.311865089953,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",30,20853,0.00085,1.69373858,"copies/uL",3.002,1,"field survey"
"Tt_16S","52345-543",3,"dPB134","D12","detected",310.970137041985,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",27,18728,0.00085,1.697331548,"copies/uL",3.002,1,"field survey"
"Tt_16S","52345-544",1,"dPB134","F02","detected",186.308586975358,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",17,19676,0.00085,1.016906142,"copies/uL",3.002,1,"field survey"
