"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[14,4]",4.78400577193197,0.00185505802422901,0.187001490564028,4.42548819283249,4.65695506407355,4.78466040655282,4.91057940861769,5.14718207031998,10161.9052133423,1.00003554320495
"mu[15,1]",5.0484128593765,0.00166377702037572,0.163051906958789,4.75017903615115,4.9324384523251,5.04274173525909,5.15761712171814,5.37531359392636,9604.20721430886,1.00003126205385
"mu[15,2]",4.53767084394199,0.000923167827642318,0.101623532749342,4.34026806477806,4.46844983455543,4.53772703654338,4.6073507435015,4.73750757267525,12117.8969416214,0.999921131125483
"mu[15,3]",4.14068233027564,0.000936612580595378,0.10299098435661,3.94112798235042,4.07033573598986,4.14006880861075,4.21088946579415,4.34314309399998,12091.451665792,0.999932473225296
"mu[15,4]",3.68509670430614,0.00141677879534614,0.142717001091102,3.4000838869094,3.58879360670951,3.68894020756877,3.78402928553581,3.95750386172388,10147.2258370862,1.00008431103124
"mu[16,1]",5.67879918513934,0.00215307337836911,0.236883818067565,5.21982017388645,5.51866980225493,5.67796555779979,5.83880118781985,6.1431939684845,12104.6748013373,0.999716056642005
"mu[16,2]",4.62713971677821,0.00124612210714557,0.137583762627053,4.35500333649613,4.5344945490166,4.62824542147908,4.72000043890409,4.89397177279179,12190.2654585908,0.99985543726622
"mu[16,3]",4.21102730114781,0.00126510939979328,0.139775057604557,3.93410217367078,4.11665343721155,4.21238593737655,4.30531287257123,4.48111259075864,12206.8383855421,0.999863001790352
"mu[16,4]",3.49257228197028,0.00186708938938602,0.202969919376646,3.09470435672354,3.35772520211634,3.49313434181126,3.62858101399957,3.88988176854579,11817.7047821009,0.999886701223463
"mu[17,1]",6.47226235870065,0.00212432940525813,0.235068648890431,6.02141296283041,6.31005243860383,6.46915573060813,6.63434620262809,6.93795456364605,12244.6309695022,1.00023125657224
"mu[17,2]",5.60934833081897,0.00120419083882971,0.129477546761636,5.35830258974092,5.52207660429031,5.60841517463258,5.69589746077828,5.86527733181433,11561.0768081069,1.00013388212716
"mu[17,3]",5.19990892838192,0.00122095581752469,0.130975206102963,4.94385316902954,5.11123012144869,5.19818463821539,5.28781120149298,5.45856577532272,11507.4284710365,1.00013669552322
"mu[17,4]",4.57317843970562,0.00178195553361169,0.186104960995881,4.21193897527525,4.44639909832479,4.57104983195031,4.69866125800171,4.94133854422771,10907.4234912536,1.00020208917686
"mu[18,1]",6.39141179068432,0.00213924898565301,0.23116860135283,5.94197158353744,6.23558999395281,6.39284432904464,6.54622684295088,6.84053676284601,11677.1005880836,1.00015298641931
"mu[18,2]",5.4227317395591,0.00112220597649413,0.121354433668298,5.18348330991454,5.34039931130937,5.42338591614846,5.50517980775495,5.65616254651841,11694.0821699584,0.99992666293373
"mu[18,3]",5.00955302523871,0.00113854981168307,0.122470454783879,4.76773641439644,4.92619578529333,5.01063566930223,5.09238278880757,5.24493636476008,11570.6721849568,0.999909294162521
"mu[18,4]",4.33142347335669,0.00163634929783046,0.173480344106925,3.98938502950037,4.21264500143495,4.3344474578421,4.44941466113211,4.66598253868918,11239.5395779541,0.999837423531868
"mu[19,1]",6.43783183180985,0.00227610111269369,0.235281340744154,5.98675788391697,6.27744243757587,6.43563639631972,6.59791962870542,6.8971311857793,10685.4267239928,1.00005776066639
"mu[19,2]",5.6250915950044,0.00123079340055502,0.136384174529131,5.3548972817084,5.535526317132,5.62304080515756,5.7163057257196,5.89583389608121,12278.8485038086,1.00007798781894
"mu[19,3]",5.21742606519156,0.00124955167687566,0.138059727116446,4.945367111704,5.12709126359811,5.21524907804425,5.30937524576882,5.49286125544469,12207.4675345971,1.00007226161854
