Extraction,Number,PCR_rep,Timepoint,Timepoint_name,Carboy,Time_sampled,Hours_base,Days_base,Component,Filter,Marker,Filt_mL,Control,Reaction,Dilution,ddPCR_copies_ul_well,Positive_droplets,Negative_droplets,copies_ul_extract,copies_mL
52345-759,759,3,2,4h,3,1:58,8,0.33,DNA,5,Bridge,2000,FALSE,Duplex,1,0.263541645,5,21807,2.898958095,0.072473952
52345-759,759,1,2,4h,3,1:58,8,0.33,DNA,5,Bridge,2000,FALSE,Duplex,1,0.443883598,8,20638,4.882719575,0.122067989
52345-759,759,2,2,4h,3,1:58,8,0.33,DNA,5,Dloop,2000,FALSE,Duplex,1,1.154637575,22,22405,12.70101333,0.317525333
52345-759,759,3,2,4h,3,1:58,8,0.33,DNA,5,Dloop,2000,FALSE,Duplex,1,1.727246523,32,21780,18.99971175,0.474992794
52345-759,759,2,2,4h,3,1:58,8,0.33,RNA,5,16S,2000,FALSE,Monoplex,0.1,0.231531709,4,20323,25.46848799,0.6367122
52345-759,759,1,2,4h,3,1:58,8,0.33,DNA,5,Dloop,2000,FALSE,Duplex,1,2.681252956,47,20599,29.49378252,0.737344563
52345-759,759,4,2,4h,3,1:58,8,0.33,DNA,5,16S,2000,FALSE,Duplex,1,2.730971575,52,22375,30.04068733,0.751017183
52345-759,759,1,2,4h,3,1:58,8,0.33,RNA,5,16S,2000,FALSE,Monoplex,0.1,0.319997442,6,22056,35.19971862,0.879992966
52345-759,759,1,2,4h,3,1:58,8,0.33,DNA,5,16S,2000,FALSE,Monoplex,1,3.54796052,66,21852,39.02756572,0.975689143
52345-759,759,2,2,4h,3,1:58,8,0.33,DNA,5,16S,2000,FALSE,Monoplex,1,3.887753963,73,22054,42.76529359,1.06913234
52345-759,759,5,2,4h,3,1:58,8,0.33,DNA,5,16S,2000,FALSE,Duplex,1,4.214614391,78,21734,46.3607583,1.159018958
52345-759,759,2,2,4h,3,1:58,8,0.33,DNA,5,Cytb,2000,FALSE,Monoplex,1,4.726238728,85,21116,51.98862601,1.29971565
52345-759,759,3,2,4h,3,1:58,8,0.33,DNA,5,16S,2000,FALSE,Duplex,1,5.311388493,93,20553,58.42527342,1.460631836
52345-759,759,1,2,4h,3,1:58,8,0.33,DNA,5,Cytb,2000,FALSE,Monoplex,1,5.528689861,102,21654,60.81558847,1.520389712
52345-759,759,2,2,4h,3,1:58,8,0.33,Carryover,5,Cytb,2000,FALSE,Monoplex,1,12.60132504,217,20151,138.6145754,3.465364386
52345-759,759,1,2,4h,3,1:58,8,0.33,Carryover,5,Cytb,2000,FALSE,Monoplex,1,14.22723389,265,21781,156.4995728,3.91248932
52345-762,762,3,3,8h,2,5:49,11.5,0.48,DNA,5,Bridge,1700,FALSE,Duplex,1,0.114547155,2,20212,1.260018705,0.037059374
52345-762,762,2,3,8h,2,5:49,11.5,0.48,DNA,5,Bridge,1700,FALSE,Duplex,1,0.255365355,5,22731,2.809018902,0.082618203
52345-762,762,1,3,8h,2,5:49,11.5,0.48,DNA,5,Bridge,1700,FALSE,Duplex,1,0.562320059,11,22807,6.185520651,0.181927078
